date,location,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2022-09-27,Tonga,0,0,16182,12,0,0,0,0
2022-09-27,Samoa,0,0,15925,29,36,0,36,0
2022-09-27,Dominica,895,6,15747,74,895,6,895,6
2022-09-27,Djibouti,0,0,15690,189,0,0,0,0
2022-09-27,Marshall Islands,0,0,15275,17,51,0,98,0
2022-09-27,Nicaragua,0,0,15045,245,24,0,55,1
2022-09-27,Central African Republic,0,0,14913,113,9,0,30,0
2022-09-27,Monaco,14,0,14586,63,65,0,135,0
2022-09-27,Gambia,0,0,12508,372,0,0,0,0
2022-09-27,Greenland,0,0,11971,21,0,0,0,0
2022-09-27,Vanuatu,0,0,11950,14,0,0,29,0
2022-09-27,Yemen,0,0,11935,2157,3,2,3,2
2022-09-27,Bonaire Sint Eustatius and Saba,0,0,11323,38,17,0,44,0
2022-09-27,Eritrea,0,0,10169,103,5,0,6,0
2022-09-27,Micronesia (country),0,0,10083,31,47,0,620,2
2022-09-27,Saint Vincent and the Grenadines,0,0,9448,116,0,0,2,0
2022-09-27,Niger,0,0,9395,313,0,0,10,1
2022-09-27,Antigua and Barbuda,0,0,9089,146,81,1,115,1
2022-09-27,Guinea-Bissau,0,0,8796,175,0,0,0,0
2022-09-27,Comoros,0,0,8471,161,0,0,16,0
2022-09-27,Liberia,0,0,7961,294,0,0,32,0
2022-09-27,Sierra Leone,0,0,7751,126,0,0,2,0
2022-09-27,Chad,0,0,7581,193,8,0,21,0
2022-09-27,British Virgin Islands,0,0,7305,64,0,0,0,0
2022-09-27,Saint Kitts and Nevis,0,0,6543,46,2,0,11,0
2022-09-27,Cook Islands,0,0,6389,1,0,0,1,0
2022-09-27,Turks and Caicos Islands,0,0,6380,36,0,0,8,0
2022-09-27,Sao Tome and Principe,0,0,6230,77,21,0,37,1
2022-09-27,Palau,0,0,5460,6,15,0,30,0
2022-09-27,Nauru,0,0,4611,1,0,0,0,0
2022-09-27,Anguilla,7,0,3865,12,7,0,14,0
2022-09-27,Kiribati,0,0,3430,13,0,0,0,0
2022-09-27,Saint Pierre and Miquelon,0,0,3188,1,0,0,22,0
2022-09-27,Falkland Islands,0,0,1886,0,0,0,0,0
2022-09-27,Montserrat,4,0,1396,8,40,0,120,0
2022-09-27,Macao,0,0,793,6,0,0,0,0
2022-09-27,Wallis and Futuna,0,0,761,7,0,0,0,0
2022-09-27,Vatican,0,0,29,0,0,0,0,0
2022-09-27,Tuvalu,0,0,20,0,0,0,0,0
2022-09-27,Saint Helena,0,0,7,0,0,0,0,0
2022-09-27,North Korea,0,0,1,6,0,0,0,0
