id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-22,12:00:00,24.109028,80.6907,113.578186
1,33.5,111.1,2021-07-22,12:00:00,24.121813,81.212616,143.21004
2,33.45,111.0,2021-07-22,12:00:00,26.815609,84.26876,133.60213
3,33.5,110.35,2021-07-22,12:00:00,26.56081,78.54662,91.03238
4,33.4,111.1,2021-07-22,12:00:00,26.939064,84.33766,128.30316
5,33.45,110.7,2021-07-22,12:00:00,27.501556,86.61047,124.011345
6,33.55,110.3,2021-07-22,12:00:00,25.994246,78.1087,94.96929
7,33.4,111.05,2021-07-22,12:00:00,26.591076,84.321945,127.91362
8,33.5,110.4,2021-07-22,12:00:00,26.909243,80.09924,89.724976
9,33.45,110.95,2021-07-22,12:00:00,26.229252,84.25367,131.94763
10,33.55,110.15,2021-07-22,12:00:00,24.411911,76.77023,118.660934
11,33.4,110.8,2021-07-22,12:00:00,27.676102,87.16794,127.70955
12,33.55,111.15,2021-07-22,12:00:00,25.436897,79.83311,145.56328
13,33.55,110.2,2021-07-22,12:00:00,23.36169,74.895706,107.14106
14,33.55,110.6,2021-07-22,12:00:00,26.32567,84.5809,121.490265
15,33.45,110.65,2021-07-22,12:00:00,27.217072,85.36514,118.708015
16,33.4,110.55,2021-07-22,12:00:00,25.405563,82.739,114.84555
17,33.55,110.8,2021-07-22,12:00:00,26.136793,86.036194,137.03545
18,33.55,110.85,2021-07-22,12:00:00,25.526716,85.06778,139.14119
19,33.45,110.85,2021-07-22,12:00:00,27.481697,86.12651,129.66254
20,33.4,110.35,2021-07-22,12:00:00,24.574566,77.64659,131.50449
21,33.4,111.15,2021-07-22,12:00:00,26.322912,83.11801,127.241455
22,33.45,110.4,2021-07-22,12:00:00,27.217228,80.3403,104.888504
23,33.4,110.1,2021-07-22,12:00:00,22.578777,75.254425,170.51056
24,33.4,110.85,2021-07-22,12:00:00,26.613768,85.672195,126.99388
25,33.4,110.05,2021-07-22,12:00:00,24.531395,77.61138,168.8167
26,33.5,111.0,2021-07-22,12:00:00,26.37273,83.32889,138.9307
27,33.5,110.2,2021-07-22,12:00:00,25.396889,76.34424,111.293106
28,33.55,110.95,2021-07-22,12:00:00,24.516697,82.57417,143.32033
29,33.4,110.9,2021-07-22,12:00:00,25.91456,84.34592,126.30524
30,33.4,110.95,2021-07-22,12:00:00,25.979462,84.23777,126.92128
31,33.45,110.45,2021-07-22,12:00:00,26.836388,81.51877,104.90735
32,33.4,110.15,2021-07-22,12:00:00,22.589317,74.791794,163.69974
33,33.55,111.05,2021-07-22,12:00:00,26.540485,82.38896,146.07489
34,33.4,110.6,2021-07-22,12:00:00,24.99907,83.47567,116.04643
35,33.5,111.05,2021-07-22,12:00:00,26.165218,83.19046,141.12189
36,33.45,110.1,2021-07-22,12:00:00,24.707432,77.34128,156.76021
37,33.5,110.6,2021-07-22,12:00:00,26.994423,84.124405,111.342186
38,33.4,110.45,2021-07-22,12:00:00,23.932816,79.04636,118.08539
39,33.4,110.7,2021-07-22,12:00:00,26.091713,86.2737,123.88192
40,33.45,110.8,2021-07-22,12:00:00,28.116531,87.01513,129.07355
41,33.45,111.05,2021-07-22,12:00:00,26.695765,84.18718,135.03531
42,33.55,110.1,2021-07-22,12:00:00,24.8012,78.12355,131.70493
43,33.5,110.8,2021-07-22,12:00:00,27.356382,85.77653,130.33992
44,33.5,110.7,2021-07-22,12:00:00,26.830778,85.21564,124.1304
45,33.45,110.05,2021-07-22,12:00:00,24.086748,77.48217,159.16055
46,33.5,110.05,2021-07-22,12:00:00,25.16618,78.57242,149.07516
47,33.4,110.4,2021-07-22,12:00:00,24.10582,77.84937,123.54355
48,33.45,110.35,2021-07-22,12:00:00,27.486252,79.68317,109.292656
49,33.5,110.25,2021-07-22,12:00:00,26.279934,76.33381,100.76354
50,33.55,110.75,2021-07-22,12:00:00,26.754967,86.548386,134.50479
51,33.45,110.15,2021-07-22,12:00:00,26.049257,77.835526,145.92172
52,33.45,111.1,2021-07-22,12:00:00,26.814472,84.084366,136.44167
53,33.5,110.75,2021-07-22,12:00:00,27.538834,85.96626,127.267075
54,33.5,111.15,2021-07-22,12:00:00,24.764156,81.40722,143.4443
55,33.55,110.45,2021-07-22,12:00:00,26.277695,82.4718,101.71494
56,33.55,110.25,2021-07-22,12:00:00,25.347965,76.41214,100.453705
57,33.5,110.15,2021-07-22,12:00:00,25.491173,77.21691,125.99135
58,33.5,110.9,2021-07-22,12:00:00,26.95941,84.807884,133.85466
59,33.55,110.05,2021-07-22,12:00:00,23.827934,78.31172,142.06398
60,33.55,110.55,2021-07-22,12:00:00,25.62915,83.68836,114.148346
61,33.4,110.3,2021-07-22,12:00:00,24.31705,76.5943,140.72574
62,33.55,110.65,2021-07-22,12:00:00,27.289515,85.80217,126.73018
63,33.5,110.85,2021-07-22,12:00:00,27.31221,85.59358,132.12573
64,33.4,111.0,2021-07-22,12:00:00,26.223087,84.04592,127.53324
65,33.45,110.25,2021-07-22,12:00:00,27.312311,77.97776,124.255424
66,33.45,111.15,2021-07-22,12:00:00,26.288645,83.101845,135.95305
67,33.5,110.1,2021-07-22,12:00:00,25.534145,78.134766,141.66243
68,33.5,110.45,2021-07-22,12:00:00,26.859568,81.63065,93.57708
69,33.55,110.9,2021-07-22,12:00:00,24.492111,83.42131,141.27083
70,33.55,110.4,2021-07-22,12:00:00,27.049427,81.70695,96.37221
71,33.5,110.65,2021-07-22,12:00:00,27.660627,85.03581,117.618
72,33.75,111.9,2021-07-22,12:00:00,24.064022,82.62274,146.83328
73,33.7,111.6,2021-07-22,12:00:00,22.765377,75.018814,183.55135
74,33.7,111.35,2021-07-22,12:00:00,25.568352,74.82611,149.96478
75,33.75,111.55,2021-07-22,12:00:00,23.521866,75.36715,168.6794
76,33.75,111.5,2021-07-22,12:00:00,23.00502,74.74874,167.02136
77,33.75,111.6,2021-07-22,12:00:00,24.528873,76.518524,171.01468
78,33.75,111.65,2021-07-22,12:00:00,24.821568,77.68204,160.4341
79,33.7,111.4,2021-07-22,12:00:00,26.152084,76.000305,155.57855
80,33.7,111.45,2021-07-22,12:00:00,24.48064,74.96252,163.69902
81,33.7,111.7,2021-07-22,12:00:00,22.872595,77.25324,170.13614
82,33.75,111.35,2021-07-22,12:00:00,22.297623,71.91318,153.48122
83,33.7,111.8,2021-07-22,12:00:00,22.21429,78.73931,145.1633
84,33.7,111.55,2021-07-22,12:00:00,23.63768,75.29111,177.54688
85,33.7,111.5,2021-07-22,12:00:00,22.18356,73.490135,172.37802
86,33.7,111.75,2021-07-22,12:00:00,22.926197,78.64797,156.08183
87,33.7,111.25,2021-07-22,12:00:00,25.049877,73.497505,143.90526
88,33.7,111.9,2021-07-22,12:00:00,24.190725,83.7773,143.47276
89,33.75,111.95,2021-07-22,12:00:00,23.293812,83.688,151.16103
90,33.75,111.4,2021-07-22,12:00:00,22.065548,72.37097,156.90804
91,33.75,111.3,2021-07-22,12:00:00,21.684032,70.6522,150.21611
92,33.75,109.4,2021-07-22,12:00:00,23.788986,77.96582,155.05844
93,33.7,109.75,2021-07-22,12:00:00,22.45303,77.26979,167.28662
94,33.75,109.6,2021-07-22,12:00:00,21.661934,77.13008,158.93591
95,33.75,110.2,2021-07-22,12:00:00,25.314304,78.68802,136.64095
96,33.75,109.35,2021-07-22,12:00:00,22.495682,76.79398,155.76468
