id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-23,16:00:00,24.679193,72.99727,111.083855
1,33.5,111.1,2021-07-23,16:00:00,24.557388,78.721275,136.70447
2,33.45,111.0,2021-07-23,16:00:00,27.490156,79.42602,132.34143
3,33.5,110.35,2021-07-23,16:00:00,27.12145,70.02515,101.59661
4,33.4,111.1,2021-07-23,16:00:00,27.754318,79.54908,126.34978
5,33.45,110.7,2021-07-23,16:00:00,28.524292,77.58658,122.45416
6,33.55,110.3,2021-07-23,16:00:00,26.560757,69.54471,105.749176
7,33.4,111.05,2021-07-23,16:00:00,27.4068,78.80281,126.46896
8,33.5,110.4,2021-07-23,16:00:00,27.699553,70.93215,102.55652
9,33.45,110.95,2021-07-23,16:00:00,26.913288,78.705,130.46048
10,33.55,110.15,2021-07-23,16:00:00,24.473804,71.46433,111.65728
11,33.4,110.8,2021-07-23,16:00:00,28.534548,79.07632,123.66392
12,33.55,111.15,2021-07-23,16:00:00,25.534058,76.57204,135.2238
13,33.55,110.2,2021-07-23,16:00:00,23.566856,68.53834,108.745636
14,33.55,110.6,2021-07-23,16:00:00,27.663012,72.84926,121.45122
15,33.45,110.65,2021-07-23,16:00:00,28.240078,75.85094,119.78252
16,33.4,110.55,2021-07-23,16:00:00,26.052486,74.82088,114.650246
17,33.55,110.8,2021-07-23,16:00:00,26.864735,78.57483,132.28613
18,33.55,110.85,2021-07-23,16:00:00,26.142828,78.49276,134.71124
19,33.45,110.85,2021-07-23,16:00:00,28.230688,79.235634,126.88643
20,33.4,110.35,2021-07-23,16:00:00,24.730232,71.5508,109.45025
21,33.4,111.15,2021-07-23,16:00:00,27.175491,78.61943,124.39647
22,33.45,110.4,2021-07-23,16:00:00,27.709442,72.7368,105.47004
23,33.4,110.1,2021-07-23,16:00:00,22.313782,72.06103,132.18376
24,33.4,110.85,2021-07-23,16:00:00,27.433193,77.865265,123.81149
25,33.4,110.05,2021-07-23,16:00:00,24.147196,74.3555,139.06038
26,33.5,111.0,2021-07-23,16:00:00,26.864456,79.996826,137.80429
27,33.5,110.2,2021-07-23,16:00:00,25.462421,70.57196,103.243
28,33.55,110.95,2021-07-23,16:00:00,24.943113,77.39082,138.29675
29,33.4,110.9,2021-07-23,16:00:00,26.655748,77.264465,123.967926
30,33.4,110.95,2021-07-23,16:00:00,26.759602,77.53567,125.25461
31,33.45,110.45,2021-07-23,16:00:00,27.550957,72.846085,107.662926
32,33.4,110.15,2021-07-23,16:00:00,22.46154,70.91229,123.31627
33,33.55,111.05,2021-07-23,16:00:00,26.8246,78.18854,138.19768
34,33.4,110.6,2021-07-23,16:00:00,25.741306,75.154205,118.01357
35,33.5,111.05,2021-07-23,16:00:00,26.669474,80.165886,137.24695
36,33.45,110.1,2021-07-23,16:00:00,24.49719,73.46739,119.59454
37,33.5,110.6,2021-07-23,16:00:00,28.351048,72.79636,116.05815
38,33.4,110.45,2021-07-23,16:00:00,24.302246,72.07757,109.906815
39,33.4,110.7,2021-07-23,16:00:00,26.98445,77.81069,123.13215
40,33.45,110.8,2021-07-23,16:00:00,28.92157,79.583694,125.21611
41,33.45,111.05,2021-07-23,16:00:00,27.408688,79.79023,132.04826
42,33.55,110.1,2021-07-23,16:00:00,24.69743,73.786575,114.652115
43,33.5,110.8,2021-07-23,16:00:00,28.056904,79.3665,126.819275
44,33.5,110.7,2021-07-23,16:00:00,27.929176,76.144585,121.753624
45,33.45,110.05,2021-07-23,16:00:00,23.75597,73.8058,125.209435
46,33.5,110.05,2021-07-23,16:00:00,24.862953,74.49715,116.95963
47,33.4,110.4,2021-07-23,16:00:00,24.307316,71.602936,108.57599
48,33.45,110.35,2021-07-23,16:00:00,27.846237,72.46349,105.32693
49,33.5,110.25,2021-07-23,16:00:00,26.47017,69.57314,101.83615
50,33.55,110.75,2021-07-23,16:00:00,27.654537,77.95567,129.84041
51,33.45,110.15,2021-07-23,16:00:00,25.966213,73.34221,113.92573
52,33.45,111.1,2021-07-23,16:00:00,27.519697,80.2791,131.74307
53,33.5,110.75,2021-07-23,16:00:00,28.42701,78.275314,124.29698
54,33.5,111.15,2021-07-23,16:00:00,25.093758,78.977165,134.24875
55,33.55,110.45,2021-07-23,16:00:00,27.456257,70.881134,110.567085
56,33.55,110.25,2021-07-23,16:00:00,25.71141,69.04936,107.18239
57,33.5,110.15,2021-07-23,16:00:00,25.447992,72.041016,107.577034
58,33.5,110.9,2021-07-23,16:00:00,27.486853,80.19071,133.27417
59,33.55,110.05,2021-07-23,16:00:00,23.579857,74.6315,118.29826
60,33.55,110.55,2021-07-23,16:00:00,26.986038,71.37059,117.513
61,33.4,110.3,2021-07-23,16:00:00,24.450716,70.62451,110.475525
62,33.55,110.65,2021-07-23,16:00:00,28.490372,75.09723,124.4682
63,33.5,110.85,2021-07-23,16:00:00,27.939724,79.91972,130.03131
64,33.4,111.0,2021-07-23,16:00:00,27.008743,77.96414,126.590454
65,33.45,110.25,2021-07-23,16:00:00,27.442528,71.97032,106.92624
66,33.45,111.15,2021-07-23,16:00:00,26.963966,79.528175,129.49867
67,33.5,110.1,2021-07-23,16:00:00,25.35971,73.604614,112.05537
68,33.5,110.45,2021-07-23,16:00:00,27.919104,71.070045,105.50276
69,33.55,110.9,2021-07-23,16:00:00,24.97121,77.88499,137.23386
70,33.55,110.4,2021-07-23,16:00:00,28.02788,71.34533,107.50305
71,33.5,110.65,2021-07-23,16:00:00,28.895683,74.72932,118.94607
72,33.75,111.9,2021-07-23,16:00:00,23.89846,76.946396,118.100174
73,33.7,111.6,2021-07-23,16:00:00,22.095043,72.32402,121.29738
74,33.7,111.35,2021-07-23,16:00:00,25.10092,71.04201,151.59007
75,33.75,111.55,2021-07-23,16:00:00,22.743687,74.37067,109.10677
76,33.75,111.5,2021-07-23,16:00:00,22.16503,74.114815,120.45044
77,33.75,111.6,2021-07-23,16:00:00,23.735756,75.20875,96.720505
78,33.75,111.65,2021-07-23,16:00:00,24.071243,75.49669,90.414635
79,33.7,111.4,2021-07-23,16:00:00,25.471348,73.01559,151.7465
80,33.7,111.45,2021-07-23,16:00:00,23.670954,72.646194,148.3398
81,33.7,111.7,2021-07-23,16:00:00,22.350582,73.32569,99.655876
82,33.75,111.35,2021-07-23,16:00:00,21.85831,66.97188,141.34805
