id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-25,08:00:00,20.994654,83.832855,330.10614
1,33.5,111.1,2021-07-25,08:00:00,22.125656,83.771935,332.5744
2,33.45,111.0,2021-07-25,08:00:00,24.688757,88.31041,319.68536
3,33.5,110.35,2021-07-25,08:00:00,21.92744,89.95513,311.70477
4,33.4,111.1,2021-07-25,08:00:00,25.053892,87.57895,313.3742
5,33.45,110.7,2021-07-25,08:00:00,24.713253,88.18057,305.8756
6,33.55,110.3,2021-07-25,08:00:00,21.497509,87.92867,333.8518
7,33.4,111.05,2021-07-25,08:00:00,24.584087,87.89633,314.92126
8,33.5,110.4,2021-07-25,08:00:00,22.468761,89.9749,295.0335
9,33.45,110.95,2021-07-25,08:00:00,23.888918,88.775154,312.86575
10,33.55,110.15,2021-07-25,08:00:00,20.557865,83.136795,307.70288
11,33.4,110.8,2021-07-25,08:00:00,24.95856,88.93768,314.10114
12,33.55,111.15,2021-07-25,08:00:00,22.46723,86.51817,330.35495
13,33.55,110.2,2021-07-25,08:00:00,19.260693,83.15846,325.5808
14,33.55,110.6,2021-07-25,08:00:00,23.579819,86.61726,285.54327
15,33.45,110.65,2021-07-25,08:00:00,24.429214,86.7619,303.17657
16,33.4,110.55,2021-07-25,08:00:00,22.568272,84.447586,327.54263
17,33.55,110.8,2021-07-25,08:00:00,23.502619,89.37537,274.3806
18,33.55,110.85,2021-07-25,08:00:00,22.99384,88.84691,275.35944
19,33.45,110.85,2021-07-25,08:00:00,24.741932,90.585106,302.88538
20,33.4,110.35,2021-07-25,08:00:00,20.537968,86.19753,352.3629
21,33.4,111.15,2021-07-25,08:00:00,24.593931,85.65542,310.14423
22,33.45,110.4,2021-07-25,08:00:00,23.060505,88.82899,314.00607
23,33.4,110.1,2021-07-25,08:00:00,18.479027,84.48541,346.00818
24,33.4,110.85,2021-07-25,08:00:00,23.984827,88.51027,313.38876
25,33.4,110.05,2021-07-25,08:00:00,20.41213,86.452545,337.80194
26,33.5,111.0,2021-07-25,08:00:00,24.218756,87.48949,323.51645
27,33.5,110.2,2021-07-25,08:00:00,21.147043,85.49171,301.9715
28,33.55,110.95,2021-07-25,08:00:00,22.050903,87.10617,299.44873
29,33.4,110.9,2021-07-25,08:00:00,23.385548,88.11168,312.77313
30,33.4,110.95,2021-07-25,08:00:00,23.655651,88.13915,314.7525
31,33.45,110.45,2021-07-25,08:00:00,23.100685,87.62,298.26144
32,33.4,110.15,2021-07-25,08:00:00,18.465252,84.65854,356.82428
33,33.55,111.05,2021-07-25,08:00:00,23.871695,87.85487,327.57166
34,33.4,110.6,2021-07-25,08:00:00,22.459457,83.601074,326.0948
35,33.5,111.05,2021-07-25,08:00:00,24.126986,86.46175,328.80017
36,33.45,110.1,2021-07-25,08:00:00,20.723392,84.90413,302.553
37,33.5,110.6,2021-07-25,08:00:00,24.046743,86.26522,286.81842
38,33.4,110.45,2021-07-25,08:00:00,20.414297,84.16344,337.11554
