id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-23,20:00:00,20.82124,90.91301,112.613686
1,33.5,111.1,2021-07-23,20:00:00,21.437881,94.14986,134.62999
2,33.45,111.0,2021-07-23,20:00:00,24.090122,96.33911,149.5742
3,33.5,110.35,2021-07-23,20:00:00,23.217175,89.449196,90.96231
4,33.4,111.1,2021-07-23,20:00:00,24.712402,94.37657,142.08983
5,33.45,110.7,2021-07-23,20:00:00,24.986305,94.831375,128.22995
6,33.55,110.3,2021-07-23,20:00:00,22.805431,88.754944,92.01274
7,33.4,111.05,2021-07-23,20:00:00,24.109554,95.05211,150.42606
8,33.5,110.4,2021-07-23,20:00:00,23.699535,90.149345,94.390785
9,33.45,110.95,2021-07-23,20:00:00,23.467525,96.249245,140.57726
10,33.55,110.15,2021-07-23,20:00:00,20.940802,87.34868,89.43873
11,33.4,110.8,2021-07-23,20:00:00,25.038902,97.02548,133.58499
12,33.55,111.15,2021-07-23,20:00:00,22.16692,94.24948,132.93265
13,33.55,110.2,2021-07-23,20:00:00,19.928883,85.90315,89.72482
14,33.55,110.6,2021-07-23,20:00:00,24.069786,91.58659,116.24461
15,33.45,110.65,2021-07-23,20:00:00,24.644796,93.67021,122.71613
16,33.4,110.55,2021-07-23,20:00:00,22.320255,92.50647,117.70561
17,33.55,110.8,2021-07-23,20:00:00,23.592068,95.968895,125.91241
18,33.55,110.85,2021-07-23,20:00:00,22.802902,96.0627,125.932144
19,33.45,110.85,2021-07-23,20:00:00,24.74971,97.111626,130.29607
20,33.4,110.35,2021-07-23,20:00:00,20.74096,90.15912,100.99131
21,33.4,111.15,2021-07-23,20:00:00,23.997112,94.07948,116.69172
22,33.45,110.4,2021-07-23,20:00:00,23.702063,91.60141,100.28691
23,33.4,110.1,2021-07-23,20:00:00,18.91346,86.538605,101.75122
24,33.4,110.85,2021-07-23,20:00:00,23.89601,96.56928,134.53052
25,33.4,110.05,2021-07-23,20:00:00,20.950478,89.55928,122.11957
26,33.5,111.0,2021-07-23,20:00:00,23.614956,95.990295,139.0967
