id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-25,00:00:00,19.417423,89.75043,178.98006
1,33.5,111.1,2021-07-25,00:00:00,20.967255,90.63063,359.03107
2,33.45,111.0,2021-07-25,00:00:00,23.98488,90.74423,346.0857
3,33.5,110.35,2021-07-25,00:00:00,21.2435,91.92339,198.90099
4,33.4,111.1,2021-07-25,00:00:00,24.054052,91.531204,337.0568
5,33.45,110.7,2021-07-25,00:00:00,23.715733,93.161736,236.90504
6,33.55,110.3,2021-07-25,00:00:00,21.549408,89.93466,167.22937
7,33.4,111.05,2021-07-25,00:00:00,23.759752,90.609726,329.3458
8,33.5,110.4,2021-07-25,00:00:00,21.478283,92.676636,202.31267
9,33.45,110.95,2021-07-25,00:00:00,23.254902,90.87381,348.27234
10,33.55,110.15,2021-07-25,00:00:00,19.135807,89.06676,146.37625
11,33.4,110.8,2021-07-25,00:00:00,24.302336,93.10841,225.95325
12,33.55,111.15,2021-07-25,00:00:00,21.27642,92.85047,4.324829
13,33.55,110.2,2021-07-25,00:00:00,18.211025,87.6512,157.60156
14,33.55,110.6,2021-07-25,00:00:00,22.579756,91.058304,271.93326
15,33.45,110.65,2021-07-25,00:00:00,23.147043,92.56415,224.92079
16,33.4,110.55,2021-07-25,00:00:00,21.019747,90.86865,188.89497
17,33.55,110.8,2021-07-25,00:00:00,23.043245,92.99028,57.0222
18,33.55,110.85,2021-07-25,00:00:00,22.42107,92.47812,35.469147
19,33.45,110.85,2021-07-25,00:00:00,24.280203,92.692245,270.7638
20,33.4,110.35,2021-07-25,00:00:00,18.943718,91.39137,180.56613
21,33.4,111.15,2021-07-25,00:00:00,23.27407,92.0652,332.87845
22,33.45,110.4,2021-07-25,00:00:00,21.692589,93.165794,186.85649
23,33.4,110.1,2021-07-25,00:00:00,17.00067,90.93484,74.52735
24,33.4,110.85,2021-07-25,00:00:00,23.303797,91.98506,230.55684
25,33.4,110.05,2021-07-25,00:00:00,19.19306,92.786835,61.78734
26,33.5,111.0,2021-07-25,00:00:00,23.390533,90.92768,18.671326
27,33.5,110.2,2021-07-25,00:00:00,20.089468,89.25443,148.291
28,33.55,110.95,2021-07-25,00:00:00,21.211744,91.25093,5.0313873
29,33.4,110.9,2021-07-25,00:00:00,22.609282,90.98842,240.09085
30,33.4,110.95,2021-07-25,00:00:00,22.946564,90.228134,283.52374
31,33.45,110.45,2021-07-25,00:00:00,21.643206,92.48545,190.40985
32,33.4,110.15,2021-07-25,00:00:00,17.106915,90.272194,113.82615
33,33.55,111.05,2021-07-25,00:00:00,22.849085,93.09923,0.2746582
34,33.4,110.6,2021-07-25,00:00:00,20.937422,90.559814,200.50847
35,33.5,111.05,2021-07-25,00:00:00,23.158787,91.60065,9.477417
36,33.45,110.1,2021-07-25,00:00:00,19.258257,91.35835,104.94153
37,33.5,110.6,2021-07-25,00:00:00,22.3177,92.29587,246.867
38,33.4,110.45,2021-07-25,00:00:00,18.777388,90.07676,177.76329
39,33.4,110.7,2021-07-25,00:00:00,22.141754,92.40916,218.74863
40,33.45,110.8,2021-07-25,00:00:00,24.837431,93.42577,236.07486
41,33.45,111.05,2021-07-25,00:00:00,23.875761,91.49566,345.33218
42,33.55,110.1,2021-07-25,00:00:00,19.354465,90.108154,136.24722
43,33.5,110.8,2021-07-25,00:00:00,24.063038,92.76433,30.471725
44,33.5,110.7,2021-07-25,00:00:00,23.12365,92.15294,268.1266
45,33.45,110.05,2021-07-25,00:00:00,18.727846,91.81563,97.64811
46,33.5,110.05,2021-07-25,00:00:00,19.711105,91.78699,111.04421
47,33.4,110.4,2021-07-25,00:00:00,18.51364,90.70848,176.27348
48,33.45,110.35,2021-07-25,00:00:00,21.986298,93.28606,188.4005
49,33.5,110.25,2021-07-25,00:00:00,21.023586,90.00618,171.34851
50,33.55,110.75,2021-07-25,00:00:00,23.655659,92.84474,51.122086
51,33.45,110.15,2021-07-25,00:00:00,20.651464,91.729706,125.88336
52,33.45,111.1,2021-07-25,00:00:00,23.929148,92.26433,344.80164
53,33.5,110.75,2021-07-25,00:00:00,24.039196,92.99399,306.39655
54,33.5,111.15,2021-07-25,00:00:00,21.370937,91.415245,351.70474
55,33.55,110.45,2021-07-25,00:00:00,22.012499,91.23872,214.21266
56,33.55,110.25,2021-07-25,00:00:00,20.51775,89.100296,160.6753
57,33.5,110.15,2021-07-25,00:00:00,20.162754,89.84602,132.60886
58,33.5,110.9,2021-07-25,00:00:00,23.8144,91.902115,32.786423
59,33.55,110.05,2021-07-25,00:00:00,18.386963,90.849075,127.0531
60,33.55,110.55,2021-07-25,00:00:00,21.719055,90.507385,255.68668
61,33.4,110.3,2021-07-25,00:00:00,18.655794,91.05269,186.21237
62,33.55,110.65,2021-07-25,00:00:00,23.8465,91.90218,293.73285
63,33.5,110.85,2021-07-25,00:00:00,24.11883,92.57426,31.96083
64,33.4,111.0,2021-07-25,00:00:00,23.391287,89.48005,318.74103
65,33.45,110.25,2021-07-25,00:00:00,21.857508,92.213745,169.86603
66,33.45,111.15,2021-07-25,00:00:00,23.199013,92.502365,340.34302
67,33.5,110.1,2021-07-25,00:00:00,20.133846,90.60553,119.94062
68,33.5,110.45,2021-07-25,00:00:00,21.622808,92.37309,211.48126
69,33.55,110.9,2021-07-25,00:00:00,21.327919,91.38316,13.632446
70,33.55,110.4,2021-07-25,00:00:00,22.590508,92.06541,173.71057
71,33.5,110.65,2021-07-25,00:00:00,23.486637,92.622955,256.6925
72,33.75,111.9,2021-07-25,00:00:00,19.239431,94.03023,309.2063
73,33.7,111.6,2021-07-25,00:00:00,16.659113,91.49675,26.48198
74,33.7,111.35,2021-07-25,00:00:00,18.978369,92.4372,6.4646606
75,33.75,111.55,2021-07-25,00:00:00,18.069435,91.58007,25.176956
76,33.75,111.5,2021-07-25,00:00:00,17.495438,90.74475,25.90532
77,33.75,111.6,2021-07-25,00:00:00,19.036552,92.69767,24.595932
