id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-24,20:00:00,21.368626,84.82702,125.420685
1,33.5,111.1,2021-07-24,20:00:00,22.348257,89.00539,87.782974
2,33.45,111.0,2021-07-24,20:00:00,25.227316,88.88053,104.39502
3,33.5,110.35,2021-07-24,20:00:00,23.86304,84.71257,89.9669
4,33.4,111.1,2021-07-24,20:00:00,25.802837,87.33527,111.22058
5,33.45,110.7,2021-07-24,20:00:00,25.534393,88.496315,118.99581
6,33.55,110.3,2021-07-24,20:00:00,23.477438,83.70408,85.486084
7,33.4,111.05,2021-07-24,20:00:00,25.345615,87.012726,114.58039
8,33.5,110.4,2021-07-24,20:00:00,24.294668,85.09355,92.36057
9,33.45,110.95,2021-07-24,20:00:00,24.432962,89.12811,103.669266
10,33.55,110.15,2021-07-24,20:00:00,21.305277,83.3476,93.263664
11,33.4,110.8,2021-07-24,20:00:00,25.896847,89.52349,132.50383
12,33.55,111.15,2021-07-24,20:00:00,22.949154,89.191605,98.0571
13,33.55,110.2,2021-07-24,20:00:00,20.428505,81.505,90.256454
14,33.55,110.6,2021-07-24,20:00:00,24.623705,85.159256,99.8134
15,33.45,110.65,2021-07-24,20:00:00,25.240206,87.186676,120.99375
16,33.4,110.55,2021-07-24,20:00:00,22.9718,85.85806,131.38972
17,33.55,110.8,2021-07-24,20:00:00,24.255676,89.76483,86.63613
18,33.55,110.85,2021-07-24,20:00:00,23.537678,89.69098,82.96374
19,33.45,110.85,2021-07-24,20:00:00,25.496527,90.48667,106.13594
20,33.4,110.35,2021-07-24,20:00:00,21.114494,86.056274,114.75513
21,33.4,111.15,2021-07-24,20:00:00,25.077606,88.22267,100.36855
22,33.45,110.4,2021-07-24,20:00:00,24.22171,86.685585,105.393776
23,33.4,110.1,2021-07-24,20:00:00,19.581127,83.36746,95.06591
24,33.4,110.85,2021-07-24,20:00:00,24.790285,89.05779,126.57625
25,33.4,110.05,2021-07-24,20:00:00,21.678185,84.73906,109.1349
26,33.5,111.0,2021-07-24,20:00:00,24.462542,90.047165,90.32163
27,33.5,110.2,2021-07-24,20:00:00,22.064594,84.5858,85.69685
28,33.55,110.95,2021-07-24,20:00:00,22.440216,88.55626,80.62891
29,33.4,110.9,2021-07-24,20:00:00,23.997694,88.66702,120.50758
30,33.4,110.95,2021-07-24,20:00:00,24.35093,87.5649,118.93962
31,33.45,110.45,2021-07-24,20:00:00,24.148394,86.01259,109.93469
32,33.4,110.15,2021-07-24,20:00:00,19.33854,84.45691,99.981224
33,33.55,111.05,2021-07-24,20:00:00,24.409142,89.64751,90.51467
34,33.4,110.6,2021-07-24,20:00:00,22.884853,85.40474,138.79321
35,33.5,111.05,2021-07-24,20:00:00,24.38768,90.36737,89.18393
36,33.45,110.1,2021-07-24,20:00:00,21.509085,85.67639,91.6733
37,33.5,110.6,2021-07-24,20:00:00,25.070255,85.22313,103.27348
38,33.4,110.45,2021-07-24,20:00:00,20.881165,84.876175,122.2691
39,33.4,110.7,2021-07-24,20:00:00,24.190128,87.18791,147.33229
40,33.45,110.8,2021-07-24,20:00:00,26.17204,90.48564,109.28393
41,33.45,111.05,2021-07-24,20:00:00,25.284595,89.09747,102.47594
42,33.55,110.1,2021-07-24,20:00:00,21.540483,84.62416,96.77442
43,33.5,110.8,2021-07-24,20:00:00,25.188995,90.23318,85.68985
44,33.5,110.7,2021-07-24,20:00:00,24.735485,87.88666,94.11019
45,33.45,110.05,2021-07-24,20:00:00,20.989723,85.6511,100.280334
46,33.5,110.05,2021-07-24,20:00:00,21.779821,87.0874,93.20383
47,33.4,110.4,2021-07-24,20:00:00,20.76017,85.21338,118.52174
48,33.45,110.35,2021-07-24,20:00:00,24.379627,87.081314,102.31147
