"location","date","new_cases","new_deaths","total_cases","total_deaths","weekly_cases","weekly_deaths","biweekly_cases","biweekly_deaths","Country.Region","continent","population_year","population"
"Sri Lanka","2022-09-27",14,1,670732,16757,91,9,231,21,"Sri Lanka","Asia",2021,21773441
"Kuwait","2022-09-27",0,0,658520,2563,0,0,0,0,"Kuwait","Asia",2021,4250114
"Dominican Republic","2022-09-27",0,0,644356,4384,0,0,2679,0,"Dominican Republic","North America",2021,11117874
"Myanmar","2022-09-27",356,0,622042,19455,2476,5,4687,12,"Burma","Asia",2021,53798084
"Estonia","2022-09-27",1073,14,601869,2681,1073,14,2273,20,"Estonia","Europe",2021,1328701
"Moldova","2022-09-27",2414,23,589437,11844,2471,23,10327,61,"Moldova","Europe",2021,3061506
"Cyprus","2022-09-27",0,0,585313,1180,0,2,0,7,"Cyprus","Europe",2021,896007
"Venezuela","2022-09-27",89,0,544620,5814,350,0,788,5,"Venezuela","South America",2021,28199866
"Egypt","2022-09-27",0,0,515645,24797,0,0,0,1,"Egypt","Africa",2021,109262178
"Libya","2022-09-27",2,0,506988,6437,47,0,90,0,"Libya","Africa",2021,6735277
"Ethiopia","2022-09-27",6,0,493534,7572,73,0,167,0,"Ethiopia","Africa",2021,120283026
"Honduras","2022-09-27",0,0,456391,10993,356,1,722,4,"Honduras","North America",2021,10278346
"Qatar","2022-09-27",1617,0,448750,682,5447,0,11041,0,"Qatar","Asia",2021,2688235
"Armenia","2022-09-27",0,0,442875,8683,0,4,0,14,"Armenia","Asia",2021,2790974
"Bosnia and Herzegovina","2022-09-27",91,0,398506,16131,557,0,1039,0,"Bosnia and Herzegovina","Europe",2021,3270943
"Oman","2022-09-27",0,0,397993,4628,0,0,0,0,"Oman","Asia",2021,4520471
"North Macedonia","2022-09-27",81,0,342696,9531,373,7,948,16,"North Macedonia","Europe",2021,2103330
"Kenya","2022-09-27",14,0,338404,5675,39,0,97,0,"Kenya","Africa",2021,53005614
"Zambia","2022-09-27",64,0,333503,4017,116,0,229,0,"Zambia","Africa",2021,19473125
"Albania","2022-09-27",79,0,332066,3589,351,0,875,3,"Albania","Europe",2021,2854710
"Botswana","2022-09-27",0,0,326308,2789,0,2,0,2,"Botswana","Africa",2021,2588423
"Luxembourg","2022-09-27",390,0,290464,1127,1300,0,1806,2,"Luxembourg","Europe",2021,639321
"Montenegro","2022-09-27",169,0,279663,2781,973,1,2020,3,"Montenegro","Europe",2021,627859
"Kosovo","2022-09-27",6,0,272051,3199,46,0,106,0,"Kosovo","Europe",2021,1782115
"Algeria","2022-09-27",5,0,270654,6879,42,0,103,0,"Algeria","Africa",2021,44177969
"Nigeria","2022-09-27",130,0,265316,3155,308,0,699,0,"Nigeria","Africa",2021,213401323
"Mauritius","2022-09-27",0,0,261976,1026,0,2,0,2,"Mauritius","Africa",2021,1298915
"Zimbabwe","2022-09-27",34,0,257376,5599,220,1,472,3,"Zimbabwe","Africa",2021,15993524
"Uzbekistan","2022-09-27",13,0,244173,1637,101,0,192,0,"Uzbekistan","Asia",2021,34081449
"Mozambique","2022-09-27",0,0,230219,2222,0,0,39,0,"Mozambique","Africa",2021,32077072
"Brunei","2022-09-27",0,0,226237,225,0,0,3178,0,"Brunei","Asia",2021,445373
"Laos","2022-09-27",22,0,215821,758,266,0,664,1,"Laos","Asia",2021,7425058
"Kyrgyzstan","2022-09-27",0,0,206083,2991,85,0,163,0,"Kyrgyzstan","Asia",2021,6527743
"Iceland","2022-09-27",183,0,205637,213,183,0,353,0,"Iceland","Europe",2021,370335
"El Salvador","2022-09-27",0,0,201785,4229,0,1,0,1,"El Salvador","North America",2021,6314167
"Afghanistan","2022-09-27",207,0,198750,7798,1142,2,2346,7,"Afghanistan","Asia",2021,40099462
"Maldives","2022-09-27",0,0,185042,308,38,0,76,0,"Maldives","Asia",2021,521458
"Trinidad and Tobago","2022-09-27",0,0,182597,4195,0,1,0,19,"Trinidad and Tobago","North America",2021,1525663
"Uganda","2022-09-27",0,0,169396,3630,0,0,0,2,"Uganda","Africa",2021,45853778
"Namibia","2022-09-27",0,0,169253,4080,0,3,0,3,"Namibia","Africa",2021,2530151
"Ghana","2022-09-27",0,0,169100,1459,0,0,0,0,"Ghana","Africa",2021,32833031
"Jamaica","2022-09-27",46,1,151752,3312,377,14,843,26,"Jamaica","North America",2021,2827694
"Cambodia","2022-09-27",7,0,137856,3056,78,0,121,0,"Cambodia","Asia",2021,16589023
"Rwanda","2022-09-27",1,0,132496,1466,1,0,47,0,"Rwanda","Africa",2021,13461888
"Cameroon","2022-09-27",0,0,121652,1935,0,0,0,0,"Cameroon","Africa",2021,27198628
"Malta","2022-09-27",22,0,114605,804,162,0,301,1,"Malta","Europe",2021,526748
"Angola","2022-09-27",0,0,103131,1917,0,0,0,0,"Angola","Africa",2021,34503774
"Barbados","2022-09-27",32,0,102488,559,209,0,509,1,"Barbados","North America",2021,281200
"Democratic Republic of Congo","2022-09-27",0,0,92852,1442,43,0,101,20,"Congo (Kinshasa)","Africa",2021,95894118
"Senegal","2022-09-27",16,0,88355,1968,56,0,131,0,"Senegal","Africa",2021,16876720
"Malawi","2022-09-27",0,0,88005,2680,24,0,62,0,"Malawi","Africa",2021,19889742
"Cote d'Ivoire","2022-09-27",24,1,87159,824,86,1,218,2,"Cote d'Ivoire","Africa",2021,27478249
"Suriname","2022-09-27",7,0,81106,1385,7,0,28,1,"Suriname","South America",2021,612984
"French Polynesia","2022-09-27",11,0,76599,649,11,0,39,0,"French Polynesia","Oceania",2021,304032
"New Caledonia","2022-09-27",0,0,74275,314,53,0,150,0,"New Caledonia","Oceania",2021,287800
"Eswatini","2022-09-27",0,0,73390,1422,11,0,16,0,"Eswatini","Africa",2021,1192271
"Guyana","2022-09-27",7,0,71322,1281,42,0,113,2,"Guyana","South America",2021,804567
"Belize","2022-09-27",42,0,68826,683,83,0,214,3,"Belize","North America",2021,400031
"Fiji","2022-09-27",0,0,68234,878,11,0,27,0,"Fiji","Oceania",2021,924610
"Madagascar","2022-09-27",0,0,66676,1410,16,0,24,0,"Madagascar","Africa",2021,28915653
"Sudan","2022-09-27",0,0,63285,4961,0,0,10,0,"Sudan","Africa",2021,45657202
"Mauritania","2022-09-27",3,0,62797,994,13,0,19,1,"Mauritania","Africa",2021,4614974
"Cape Verde","2022-09-27",8,0,62368,410,12,0,22,0,"Cabo Verde","Africa",2021,587925
"Bhutan","2022-09-27",239,0,61969,21,239,0,550,0,"Bhutan","Asia",2021,777486
"Syria","2022-09-27",4,0,57284,3163,57,0,95,0,"Syria","Asia",2021,21324367
"Burundi","2022-09-27",0,0,50129,38,103,0,759,0,"Burundi","Africa",2021,12551213
"Gabon","2022-09-27",0,0,48691,306,9,0,23,0,"Gabon","Africa",2021,2341179
"Seychelles","2022-09-27",0,0,46358,169,0,0,0,0,"Seychelles","Africa",2021,106470
"Andorra","2022-09-27",0,0,46147,155,0,0,34,0,"Andorra","Europe",2021,79034
"Curacao","2022-09-27",0,0,45357,287,12,0,39,0,"Curacao","North America",2021,190338
"Papua New Guinea","2022-09-27",0,0,44981,664,39,0,66,0,"Papua New Guinea","Oceania",2021,9949437
"Aruba","2022-09-27",0,0,42970,228,0,0,0,0,"Aruba","North America",2021,106536
