id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-25,20:00:00,22.059216,79.82646,155.43715
1,33.5,111.1,2021-07-25,20:00:00,23.153471,82.39142,167.73524
2,33.45,111.0,2021-07-25,20:00:00,25.68862,83.33745,159.62666
3,33.5,110.35,2021-07-25,20:00:00,24.104273,82.704666,116.794876
4,33.4,111.1,2021-07-25,20:00:00,25.9021,84.59121,169.87396
5,33.45,110.7,2021-07-25,20:00:00,26.12272,81.445175,161.2698
6,33.55,110.3,2021-07-25,20:00:00,23.689335,81.697296,98.24522
7,33.4,111.05,2021-07-25,20:00:00,25.48575,83.56617,166.86247
8,33.5,110.4,2021-07-25,20:00:00,24.395996,83.08969,116.04642
9,33.45,110.95,2021-07-25,20:00:00,24.971373,82.76592,156.28815
10,33.55,110.15,2021-07-25,20:00:00,21.828667,79.797516,134.64426
11,33.4,110.8,2021-07-25,20:00:00,26.220566,83.52493,177.10768
12,33.55,111.15,2021-07-25,20:00:00,23.626984,83.64368,170.74625
13,33.55,110.2,2021-07-25,20:00:00,21.069214,77.687225,124.6364
14,33.55,110.6,2021-07-25,20:00:00,24.719252,81.76497,117.38692
15,33.45,110.65,2021-07-25,20:00:00,25.763447,80.82588,157.34885
16,33.4,110.55,2021-07-25,20:00:00,23.666433,80.21257,160.37296
17,33.55,110.8,2021-07-25,20:00:00,25.16183,82.4695,123.95365
18,33.55,110.85,2021-07-25,20:00:00,24.541092,81.910065,132.18916
19,33.45,110.85,2021-07-25,20:00:00,26.140404,82.99928,155.31381
20,33.4,110.35,2021-07-25,20:00:00,21.678486,83.13051,164.47469
21,33.4,111.15,2021-07-25,20:00:00,25.55897,83.43899,166.97787
22,33.45,110.4,2021-07-25,20:00:00,24.528217,84.36303,137.23584
23,33.4,110.1,2021-07-25,20:00:00,20.449844,73.71524,180.2168
24,33.4,110.85,2021-07-25,20:00:00,25.10548,83.10187,171.34755
25,33.4,110.05,2021-07-25,20:00:00,22.547161,73.284294,183.73055
26,33.5,111.0,2021-07-25,20:00:00,25.237383,83.28908,154.74289
27,33.5,110.2,2021-07-25,20:00:00,22.87748,79.200455,134.85405
28,33.55,110.95,2021-07-25,20:00:00,23.354832,81.32778,155.39908
29,33.4,110.9,2021-07-25,20:00:00,24.318228,82.815735,165.8065
30,33.4,110.95,2021-07-25,20:00:00,24.598051,82.59802,164.85591
31,33.45,110.45,2021-07-25,20:00:00,24.533419,82.61694,140.27129
32,33.4,110.15,2021-07-25,20:00:00,20.25172,76.37209,177.10425
33,33.55,111.05,2021-07-25,20:00:00,25.0344,84.28122,172.34521
34,33.4,110.6,2021-07-25,20:00:00,23.577888,79.1511,165.7723
35,33.5,111.05,2021-07-25,20:00:00,25.172907,83.715164,160.95546
36,33.45,110.1,2021-07-25,20:00:00,22.247086,78.210236,162.11774
37,33.5,110.6,2021-07-25,20:00:00,25.235462,80.6631,142.12624
38,33.4,110.45,2021-07-25,20:00:00,21.475655,80.96976,157.41556
39,33.4,110.7,2021-07-25,20:00:00,24.686766,80.7104,180.8265
40,33.45,110.8,2021-07-25,20:00:00,26.831078,82.83322,157.94882
41,33.45,111.05,2021-07-25,20:00:00,25.719753,84.03758,164.1128
42,33.55,110.1,2021-07-25,20:00:00,21.95539,81.4431,143.04355
43,33.5,110.8,2021-07-25,20:00:00,26.160362,81.258316,140.23563
44,33.5,110.7,2021-07-25,20:00:00,25.39478,80.55483,147.01788
45,33.45,110.05,2021-07-25,20:00:00,21.662416,77.13254,162.94981
46,33.5,110.05,2021-07-25,20:00:00,22.2353,81.51201,149.2677
47,33.4,110.4,2021-07-25,20:00:00,21.24562,82.58724,159.74709
48,33.45,110.35,2021-07-25,20:00:00,24.79858,84.60223,139.625
49,33.5,110.25,2021-07-25,20:00:00,23.820704,80.458755,126.040115
50,33.55,110.75,2021-07-25,20:00:00,25.645468,82.962746,124.07866
51,33.45,110.15,2021-07-25,20:00:00,23.54846,80.044815,157.50427
52,33.45,111.1,2021-07-25,20:00:00,25.92646,84.73804,168.86966
53,33.5,110.75,2021-07-25,20:00:00,26.237473,81.26569,143.66745
54,33.5,111.15,2021-07-25,20:00:00,23.737452,82.19797,162.32837
