id,lat,lng,date,time,tem,rhu,wnd
0,33.4,110.5,2021-07-24,04:00:00,19.4787,93.7386,103.729546
1,33.5,111.1,2021-07-24,04:00:00,19.534185,95.14614,18.952225
2,33.45,111.0,2021-07-24,04:00:00,22.463871,97.51987,12.244614
3,33.5,110.35,2021-07-24,04:00:00,21.479794,95.9037,83.875175
4,33.4,111.1,2021-07-24,04:00:00,22.441856,97.67171,346.70056
5,33.45,110.7,2021-07-24,04:00:00,23.38427,98.82558,116.978806
6,33.55,110.3,2021-07-24,04:00:00,21.148994,94.58641,95.0175
7,33.4,111.05,2021-07-24,04:00:00,22.249907,97.25649,346.67752
8,33.5,110.4,2021-07-24,04:00:00,22.028282,96.128555,80.47288
9,33.45,110.95,2021-07-24,04:00:00,21.928356,97.353195,44.42862
10,33.55,110.15,2021-07-24,04:00:00,19.359156,91.586,109.96345
11,33.4,110.8,2021-07-24,04:00:00,23.64658,99.51625,139.41945
12,33.55,111.15,2021-07-24,04:00:00,20.032639,95.949005,22.167847
13,33.55,110.2,2021-07-24,04:00:00,18.280964,90.911835,110.15069
14,33.55,110.6,2021-07-24,04:00:00,22.385643,95.94818,89.10335
15,33.45,110.65,2021-07-24,04:00:00,23.091679,97.50762,112.12709
16,33.4,110.55,2021-07-24,04:00:00,20.97628,95.19156,109.32706
17,33.55,110.8,2021-07-24,04:00:00,21.837196,98.9501,68.22805
18,33.55,110.85,2021-07-24,04:00:00,21.072693,98.678825,51.64012
19,33.45,110.85,2021-07-24,04:00:00,23.252201,99.15613,109.871956
20,33.4,110.35,2021-07-24,04:00:00,19.14054,94.87013,89.033035
21,33.4,111.15,2021-07-24,04:00:00,21.849443,96.8096,357.98694
22,33.45,110.4,2021-07-24,04:00:00,22.113016,96.62732,88.63427
23,33.4,110.1,2021-07-24,04:00:00,17.128742,92.5071,53.132286
24,33.4,110.85,2021-07-24,04:00:00,22.600393,97.69527,139.12708
25,33.4,110.05,2021-07-24,04:00:00,19.18842,94.231544,56.04756
26,33.5,111.0,2021-07-24,04:00:00,21.798887,97.30524,20.26619
27,33.5,110.2,2021-07-24,04:00:00,20.015207,93.135315,95.88269
